intptlat,intptlong,zcta5
41.72813797,-70.47654724,2563
41.27193451,-69.98441315,2564
41.45860672,-70.61347961,2568
41.76118851,-70.69599152,2571
41.4002533,-70.65693665,2575
41.77222061,-70.76294708,2576
41.25884628,-70.00733185,2584
41.6579628,-70.2980957,2601
41.70675659,-70.31249237,2630
41.74751282,-70.06622314,2631
41.65909576,-70.34687805,2632
41.68973541,-69.97212219,2633
41.62405396,-70.43939972,2635
41.70572662,-70.27092743,2637
41.73022842,-70.19739532,2638
41.66806793,-70.13697815,2639
41.75124741,-70.1534729,2641
41.84133148,-69.97743225,2642
41.79777527,-69.93732452,2643
41.68348694,-70.51078796,2644
41.71104813,-70.05760956,2645
41.67059708,-70.07144928,2646
41.63012695,-70.31014252,2647
41.67094421,-70.41536713,2648
41.61680222,-70.49009705,2649
41.70194626,-69.96137238,2650
41.87504578,-70.00344086,2651
42.04953384,-70.09498596,2652
41.76912689,-69.97357941,2653
41.62798309,-70.39201355,2655
42.05982971,-70.20040894,2657
41.68146515,-70.02353668,2659
41.70769882,-70.15856171,2660
41.89444351,-70.01217651,2663
41.67472839,-70.19564819,2664
41.99077988,-70.04571533,2666
41.92199707,-70.02335358,2667
41.71620941,-70.36309814,2668
41.66667938,-69.98969269,2669
41.66010284,-70.17068481,2670
41.6708374,-70.11340332,2671
41.63570023,-70.31363678,2672
41.65571213,-70.24704742,2673
41.70415497,-70.23180389,2675
41.78511429,-71.05904388,2702
41.93165207,-71.29450226,2703
41.44129562,-70.90221405,2713
41.8036499,-71.15338135,2715
41.76010895,-70.9728775,2717
41.86248779,-71.01168823,2718
41.6336174,-70.87130737,2719
41.72505188,-71.12133026,2720
41.67512512,-71.14827728,2721
41.69270325,-71.1297226,2723
41.68393707,-71.17749786,2724
41.72004318,-71.18827057,2725
41.75970078,-71.14459229,2726
41.70413971,-70.75222778,2738
41.66579437,-70.81452942,2739
41.6374855,-70.93826294,2740
41.71821594,-70.90115356,2743
41.60625076,-70.91363525,2744
41.700737,-70.95054626,2745
41.66099548,-70.94013977,2746
41.664711,-71.01570129,2747
41.55308533,-70.97145081,2748
41.97250748,-71.33439636,2760
42.01279831,-71.33657837,2762
41.96686554,-71.30857086,2763
41.85192871,-71.15359497,2764
41.96533966,-71.18177795,2766
41.94099426,-71.04850006,2767
41.84687805,-71.24487305,2769
41.76086426,-70.83895874,2770
41.84210587,-71.3223114,2771
41.75816345,-71.21417999,2777
41.83806229,-71.07761383,2779
41.90911102,-71.11834717,2780
41.5991745,-71.08237457,2790
41.52853775,-71.07809448,2791
41.95212936,-71.45623016,2802
41.43477249,-71.76952362,2804
41.73475266,-71.31973267,2806
41.17681503,-71.5770874,2807
41.40825272,-71.74967194,2808
41.67573166,-71.27333069,2809
41.47894669,-71.65233612,2812
41.39421463,-71.66982269,2813
41.8959465,-71.70040894,2814
41.7746315,-71.64795685,2815
41.69649887,-71.62266541,2816
41.63708115,-71.67835999,2817
41.64291763,-71.48571777,2818
41.5702095,-71.62699127,2822
41.78206635,-71.72682953,2825
41.98274612,-71.65314484,2826
41.69874954,-71.73912048,2827
41.87992859,-71.56399536,2828
41.97492981,-71.65118408,2830
41.7747612,-71.62029266,2831
41.5147171,-71.72962189,2832
